"","site","month","year","site_seas_year","Abramis brama","Alburnoides bipunctatus","Alburnus alburnus","Alosa chrysochloris","Ambassis agassizii","Ambassis marianus","Ambloplites rupestris","Ameiurus melas","Ameiurus natalis","Ameiurus nebulosus","Amia calva","Ammocrypta clara","Amniataba percoides","Anguilla anguilla","Anguilla australis","Anguilla reinhardtii","Anguilla rostrata","Aphredoderus sayanus","Aplodinotus grunniens","Arrhamphus sclerolepis","Astyanax mexicanus","Barbatula barbatula","Barbus barbus","Blicca bjoerkna","Campostoma anomalum","Carassius auratus","Carassius carassius","Carassius gibelio","Carpiodes carpio","Carpiodes cyprinus","Carpiodes velifer","Catostomus commersonii","Chelon labrosus","Chondrostoma nasus","Cobitis taenia","Coregonus albula","Cottus gobio","Cottus poecilopus","Craterocephalus marjoriae","Craterocephalus stercusmuscarum","Ctenopharyngodon idella","Cycleptus elongatus","Cyprinella lutrensis","Cyprinella spiloptera","Cyprinella venusta","Cyprinus carpio","Dicentrarchus labrax","Dorosoma cepedianum","Dorosoma petenense","Esox americanus","Esox lucius","Esox masquinongy","Etheostoma asprigene","Etheostoma blennioides","Etheostoma caeruleum","Etheostoma exile","Etheostoma flabellare","Etheostoma nigrum","Etheostoma zonale","Fundulus diaphanus","Fundulus notatus","Fundulus zebrinus","Gambusia affinis","Gambusia holbrooki","Gasterosteus aculeatus","Glossamia aprion","Gobio gobio","Gobiomorphus australis","Gymnocephalus cernua","Hiodon alosoides","Hiodon tergisus","Hybognathus nuchalis","Hybognathus placitus","Hypentelium nigricans","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Ictalurus furcatus","Ictalurus punctatus","Ictiobus bubalus","Ictiobus cyprinellus","Ictiobus niger","Labidesthes sicculus","Leiopotherapon unicolor","Lepisosteus oculatus","Lepisosteus osseus","Lepisosteus platostomus","Lepomis cyanellus","Lepomis gibbosus","Lepomis gulosus","Lepomis humilis","Lepomis macrochirus","Lepomis megalotis","Lepomis microlophus","Leucaspius delineatus","Leuciscus aspius","Leuciscus idus","Leuciscus leuciscus","Lota lota","Lucania parva","Luciobarbus graellsii","Luxilus chrysocephalus","Luxilus cornutus","Macquaria ambigua","Macquaria novemaculeata","Macrhybopsis aestivalis","Macrhybopsis storeriana","Menidia beryllina","Micropterus dolomieu","Micropterus punctulatus","Micropterus salmoides","Minytrema melanops","Misgurnus anguillicaudatus","Mogurnda adspersa","Morone americana","Morone chrysops","Morone mississippiensis","Morone saxatilis","Moxostoma anisurum","Moxostoma breviceps","Moxostoma carinatum","Moxostoma duquesnii","Moxostoma erythrurum","Moxostoma macrolepidotum","Mugil cephalus","Nannoperca oxleyana","Nematalosa erebi","Neogobius melanostomus","Nocomis biguttatus","Nocomis micropogon","Notemigonus crysoleucas","Notropis atherinoides","Notropis blennius","Notropis dorsalis","Notropis girardi","Notropis hudsonius","Notropis photogenis","Notropis shumardi","Notropis simus","Notropis stramineus","Notropis texanus","Notropis volucellus","Noturus flavus","Noturus gyrinus","Noturus nocturnus","Oncorhynchus mykiss","Opsopoeodus emiliae","Oreochromis mossambicus","Oxyeleotris lineolata","Parachondrostoma miegii","Parachondrostoma toxostoma","Perca flavescens","Perca fluviatilis","Percina caprodes","Percina copelandi","Percina macrolepida","Percina maculata","Percina phoxocephala","Percina sciera","Percina shumardi","Percopsis omiscomaycus","Phenacobius mirabilis","Phoxinus phoxinus","Pimephales notatus","Pimephales promelas","Pimephales vigilax","Platichthys flesus","Poecilia reticulata","Polyodon spathula","Pomoxis annularis","Pomoxis nigromaculatus","Porochilus rendahli","Pseudomugil signifer","Pseudorasbora parva","Pungitius pungitius","Pylodictis olivaris","Redigobius bikolanus","Retropinna semoni","Rhadinocentrus ornatus","Rhodeus amarus","Rhodeus sericeus","Rutilus rutilus","Salaria fluviatilis","Salmo salar","Salmo trutta","Salvelinus fontinalis","Sander canadensis","Sander lucioperca","Sander vitreus","Sarmarutilus rubilio","Scaphirhynchus platorynchus","Semotilus atromaculatus","Silurus glanis","Squalius cephalus","Tandanus tandanus","Telestes souffia","Thymallus thymallus","Tinca tinca","Umbra limi","site_year"
"S10015_2005","S10015",8,2005,"S10015_8_2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S10015_2005"
"S10015_2006","S10015",8,2006,"S10015_8_2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,"S10015_2006"
"S10015_2007","S10015",8,2007,"S10015_8_2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7894736842105,0,0,0,0,0,0,0,0,0,0,0,2.63157894736842,0,0,"S10015_2007"
"S10015_2008","S10015",8,2008,"S10015_8_2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,"S10015_2008"
"S10015_2009","S10015",8,2009,"S10015_8_2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4457831325301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0963855421687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4578313253012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S10015_2009"
"S10015_2010","S10015",8,2010,"S10015_8_2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2089552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8955223880597,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47761194029851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4179104477612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S10015_2010"
"S10015_2011","S10015",8,2011,"S10015_8_2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,"S10015_2011"
"S10015_2012","S10015",8,2012,"S10015_8_2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3018867924528,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9811320754717,0,0,0,0,0,0,0,0,0,0,0,3.77358490566038,0,0,"S10015_2012"
"S10015_2013","S10015",8,2013,"S10015_8_2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5172413793103,0,0,0,0,0,0,0,0,0,0,0,1.72413793103448,0,0,"S10015_2013"
"S10015_2004","S10015",NA,2004,"S10015_NA_2004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0714285714286,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,"S10015_2004"
